test,店番,店名,郵便番号,都道府県,市町村区,町名,番地,
1,436,守口滝井,5700022,大阪府,守口市,暁町,,
1,436,守口滝井,5700071,大阪府,守口市,祝町,,
1,436,守口滝井,5700066,大阪府,守口市,梅園町,,
1,436,守口滝井,5700087,大阪府,守口市,梅町,,
1,436,守口滝井,5700037,大阪府,守口市,大枝北町,,
1,436,守口滝井,5700054,大阪府,守口市,大枝西町,,
1,436,守口滝井,5700036,大阪府,守口市,大枝東町,,
1,436,守口滝井,5700051,大阪府,守口市,大枝南町,,
1,436,守口滝井,5700012,大阪府,守口市,大久保町,1丁目,
1,436,守口滝井,5700012,大阪府,守口市,大久保町,3丁目,
1,436,守口滝井,5700009,大阪府,守口市,大庭町,1丁目,
1,436,守口滝井,5700009,大阪府,守口市,大庭町,2丁目,
1,436,守口滝井,5700033,大阪府,守口市,大宮通,1丁目,
1,436,守口滝井,5700033,大阪府,守口市,大宮通,2丁目,
1,436,守口滝井,5700033,大阪府,守口市,大宮通,3丁目,
1,436,守口滝井,5700033,大阪府,守口市,大宮通,4丁目,
1,436,守口滝井,5700015,大阪府,守口市,梶町,1丁目,
1,436,守口滝井,5700015,大阪府,守口市,梶町,2丁目,
1,436,守口滝井,5700015,大阪府,守口市,梶町,3丁目,
1,436,守口滝井,5700015,大阪府,守口市,梶町,4丁目,
1,436,守口滝井,5700055,大阪府,守口市,春日町,,
1,436,守口滝井,5700079,大阪府,守口市,金下町,1丁目,
1,436,守口滝井,5700079,大阪府,守口市,金下町,2丁目,
1,436,守口滝井,5700024,大阪府,守口市,神木町,,
1,436,守口滝井,5700038,大阪府,守口市,河原町,,
1,436,守口滝井,5700032,大阪府,守口市,菊水通,1丁目,
1,436,守口滝井,5700032,大阪府,守口市,菊水通,2丁目,
1,436,守口滝井,5700032,大阪府,守口市,菊水通,3丁目,
1,436,守口滝井,5700032,大阪府,守口市,菊水通,4丁目,
1,436,守口滝井,5700011,大阪府,守口市,金田町,1丁目,
1,436,守口滝井,5700011,大阪府,守口市,金田町,2丁目,
1,436,守口滝井,5700011,大阪府,守口市,金田町,3丁目,
1,436,守口滝井,5700011,大阪府,守口市,金田町,4丁目,
1,436,守口滝井,5700011,大阪府,守口市,金田町,5丁目,
1,436,守口滝井,5700011,大阪府,守口市,金田町,6丁目,
1,436,守口滝井,5700094,大阪府,守口市,京阪北本通,,
1,436,守口滝井,5700083,大阪府,守口市,京阪本通,1丁目,
1,436,守口滝井,5700083,大阪府,守口市,京阪本通,2丁目,
1,436,守口滝井,5700077,大阪府,守口市,寿町,,
1,436,守口滝井,5700061,大阪府,守口市,小春町,,
1,436,守口滝井,5700034,大阪府,守口市,西郷通,1丁目,
1,436,守口滝井,5700034,大阪府,守口市,西郷通,2丁目,
1,436,守口滝井,5700034,大阪府,守口市,西郷通,3丁目,
1,436,守口滝井,5700034,大阪府,守口市,西郷通,4丁目,
1,436,守口滝井,5700027,大阪府,守口市,桜町,,
1,436,守口滝井,5700002,大阪府,守口市,佐太中町,1丁目,
1,436,守口滝井,5700002,大阪府,守口市,佐太中町,2丁目,
1,436,守口滝井,5700002,大阪府,守口市,佐太中町,3丁目,
1,436,守口滝井,5700002,大阪府,守口市,佐太中町,4丁目,
1,436,守口滝井,5700002,大阪府,守口市,佐太中町,5丁目,
1,436,守口滝井,5700002,大阪府,守口市,佐太中町,6丁目,
1,436,守口滝井,5700002,大阪府,守口市,佐太中町,7丁目,
1,436,守口滝井,5700001,大阪府,守口市,佐太西町,1丁目,
1,436,守口滝井,5700001,大阪府,守口市,佐太西町,2丁目,
1,436,守口滝井,5700017,大阪府,守口市,佐太東町,1丁目,
1,436,守口滝井,5700017,大阪府,守口市,佐太東町,2丁目,
1,436,守口滝井,5700072,大阪府,守口市,早苗町,,
1,436,守口滝井,5700007,大阪府,守口市,下島町,,
1,436,守口滝井,5700026,大阪府,守口市,松月町,,
1,436,守口滝井,5700098,大阪府,守口市,新橋寺町,,
1,436,守口滝井,5700056,大阪府,守口市,寺内町,1丁目,
1,436,守口滝井,5700056,大阪府,守口市,寺内町,2丁目,
1,436,守口滝井,5700096,大阪府,守口市,外島町,,
1,436,守口滝井,5700053,大阪府,守口市,高瀬町,1丁目,
1,436,守口滝井,5700053,大阪府,守口市,高瀬町,2丁目,
1,436,守口滝井,5700053,大阪府,守口市,高瀬町,3丁目,
1,436,守口滝井,5700053,大阪府,守口市,高瀬町,4丁目,
1,436,守口滝井,5700053,大阪府,守口市,高瀬町,5丁目,
1,436,守口滝井,5700076,大阪府,守口市,滝井西町,1丁目,
1,436,守口滝井,5700076,大阪府,守口市,滝井西町,2丁目,
1,436,守口滝井,5700076,大阪府,守口市,滝井西町,3丁目,
1,436,守口滝井,5700065,大阪府,守口市,滝井元町,1丁目,
1,436,守口滝井,5700065,大阪府,守口市,滝井元町,2丁目,
1,436,守口滝井,5700065,大阪府,守口市,滝井元町,3丁目,
1,436,守口滝井,5700086,大阪府,守口市,竹町,,
1,436,守口滝井,5700025,大阪府,守口市,竜田通,1丁目,
1,436,守口滝井,5700025,大阪府,守口市,竜田通,2丁目,
1,436,守口滝井,5700003,大阪府,守口市,大日町,1丁目,
1,436,守口滝井,5700003,大阪府,守口市,大日町,2丁目,
1,436,守口滝井,5700003,大阪府,守口市,大日町,3丁目,
1,436,守口滝井,5700003,大阪府,守口市,大日町,4丁目,
1,436,守口滝井,5700016,大阪府,守口市,大日東町,,
1,436,守口滝井,5700063,大阪府,守口市,大門町,,
1,436,守口滝井,5700042,大阪府,守口市,寺方錦通,1丁目,
1,436,守口滝井,5700042,大阪府,守口市,寺方錦通,2丁目,
1,436,守口滝井,5700042,大阪府,守口市,寺方錦通,3丁目,
1,436,守口滝井,5700042,大阪府,守口市,寺方錦通,4丁目,
1,436,守口滝井,5700048,大阪府,守口市,寺方本通,1丁目,
1,436,守口滝井,5700048,大阪府,守口市,寺方本通,2丁目,
1,436,守口滝井,5700048,大阪府,守口市,寺方本通,3丁目,
1,436,守口滝井,5700048,大阪府,守口市,寺方本通,4丁目,
1,436,守口滝井,5700047,大阪府,守口市,寺方元町,1丁目,
1,436,守口滝井,5700047,大阪府,守口市,寺方元町,2丁目,
1,436,守口滝井,5700047,大阪府,守口市,寺方元町,3丁目,
1,436,守口滝井,5700047,大阪府,守口市,寺方元町,4丁目,
1,436,守口滝井,5700035,大阪府,守口市,東光町,1丁目,
1,436,守口滝井,5700035,大阪府,守口市,東光町,2丁目,
1,436,守口滝井,5700035,大阪府,守口市,東光町,3丁目,
1,436,守口滝井,5700041,大阪府,守口市,東郷通,1丁目,
1,436,守口滝井,5700041,大阪府,守口市,東郷通,2丁目,
1,436,守口滝井,5700041,大阪府,守口市,東郷通,3丁目,
